"time_step","year","biomass_grass","mean_biomass_willow","mean_biomass_aspen","count_elk","count_bison","count_wolf","count_cougar"
0,1996,NA,NA,NA,NA,866,21,NA
1,1997,NA,NA,NA,NA,860,19,NA
2,1998,NA,NA,NA,11736,455,32,NA
3,1999,NA,NA,0.00664743739171596,11742,489,42,NA
4,2000,NA,NA,NA,14539,540,35,34
5,2001,NA,0.426947444444444,0.00951871196705847,13400,590,65,30
6,2002,NA,0.478056536964981,0.0135633981918378,11969,719,70,42
7,2003,2519538473.53417,0.5431990078125,0.00821127395697714,9215,805,78,26
8,2004,NA,0.612329466666667,0.00945436234267711,8335,888,98,26
9,2005,2598989817.4412,0.813601140625,0.024298810982608,9545,876,84,32
10,2006,NA,0.904075466666667,0.0203738321613181,NA,1484,54,NA
11,2007,2609967997.35725,0.9702055390625,0.0231127462368255,6738,1377,75,NA
12,2008,2627942347.54032,0.968051157894737,0.0426261432841124,6279,2070,94,NA
13,2009,2568134876.40053,1.03174254647887,0.0641110858464,7109,1500,57,NA
14,2010,2631463001.10705,1.14980837078652,0.0723870102995474,6070,1837,40,NA
15,2011,2640328940.60912,1.19887783536585,0.0824975653381995,4635,2246,38,NA
16,2012,2561544257.33971,1.33929318318318,0.123257600382245,4174,2314,38,NA
17,2013,2579636199.25985,1.39853439067055,0.141287577148946,3915,2669,34,NA
18,2014,NA,1.44096925142857,0.234372492563286,NA,3420,34,NA
19,2015,2488139003.65506,1.61018924781341,NA,4844,3424,42,34
20,2016,2549049887.10714,1.6485264652568,0.389306886026562,4912,3627,50,35
21,2017,2534679475.81815,1.70459034812287,0.407291701299636,5354,4008,41,42
22,2018,2511339310.19794,1.76685172727273,0.473805885895549,7579,3969,33,37
23,2019,NA,1.5087557244898,0.544693206432692,5800,3337,39,NA
24,2020,NA,1.96191770886076,0.830006250268223,6019,3667,55,NA
25,2021,NA,NA,0.824480356664746,6246,3427,79,NA
26,2022,NA,NA,0.822430037477154,6673,3830,55,NA
27,2023,NA,NA,1.05195876031482,5796,4507,60,NA
28,2024,NA,NA,NA,5597,3616,69,NA
29,2025,NA,NA,NA,7226,4403,57,NA
