year_jan,count
1923,11648
1924,
1925,12428
1926,
1927,12488
1928,8959
1929,9122
1930,8257
1931,7696
1932,10624
1933,11521
1934,10042
1935,10112
1936,10281
1937,8794
1938,10976
1939,
1940,
1941,
1942,
1943,8235
1944,
1945,
1946,8513
1947,
1948,7815
1949,9496
1950,
1951,
1952,
1953,
1954,
1955,
1956,6963
1957,
1958,
1959,4884
1960,
1961,8150
1962,5725
1963,
1964,
1965,4865
1966,
1967,3842
1968,3172
1969,4305
1970,5543
1971,7281
1972,8215
1973,9981
1974,10529
1975,12607
1976,12014
1977,
1978,12680
1979,10838
1980,
1981,
1982,16019
1983,
1984,
1985,
1986,16286
1987,17007
1988,18913
1989,
1990,14829
1991,
1992,12859
1993,17585
1994,19045
1995,16791
1996,
1997,
1998,11736
1999,11742
2000,14539
2001,13400
2002,11969
2003,9215
2004,8335
2005,9545
2006,
2007,6738
2008,6279
2009,7109
2010,6070
2011,4635
2012,4174
2013,3915
2014,
2015,4844
2016,4912
2017,5354
2018,7579
2019,5800
2020,6019
2021,6246
2022,6673
2023,5796
2024,5597
2025,7226
